operator_type,batch_size,seq_len,hidden_dim1,hidden_dim2,latency_ms,memory_footprint_mb,flops,arithmetic_intensity
gemm,8,1024,256,1024,0.056524801254272464,20.5,4294967296,199.8048780487805
gemm,8,1024,256,2048,0.09338880181312562,37.0,8589934592,221.40540540540542
gemm,8,1024,512,128,0.03850240111351013,10.125,1073741824,101.1358024691358
gemm,8,1024,512,256,0.033792001008987424,12.25,2147483648,167.18367346938774
gemm,8,1024,512,512,0.0477183997631073,16.5,4294967296,248.24242424242425
gemm,8,1024,512,1024,0.0894976019859314,25.0,8589934592,327.68
gemm,8,1024,512,2048,0.17059839963912965,42.0,17179869184,390.0952380952381
gemm,8,1024,1024,128,0.03255679905414581,18.25,2147483648,112.21917808219177
gemm,8,1024,1024,256,0.051609599590301515,20.5,4294967296,199.8048780487805
gemm,8,1024,1024,512,0.09011200070381165,25.0,8589934592,327.68
gemm,8,1024,1024,1024,0.17203199863433838,34.0,17179869184,481.88235294117646
gemm,8,1024,1024,2048,0.33771519660949706,52.0,34359738368,630.1538461538462
gemm,8,1024,2048,128,0.058982402086257935,34.5,4294967296,118.72463768115942
gemm,8,1024,2048,256,0.09011200070381165,37.0,8589934592,221.40540540540542
gemm,8,1024,2048,512,0.17018879652023317,42.0,17179869184,390.0952380952381
gemm,8,1024,2048,1024,0.32829439640045166,52.0,34359738368,630.1538461538462
gemm,8,1024,2048,2048,0.6504447937011719,72.0,68719476736,910.2222222222222
gemm,16,1,128,128,0.010860799998044967,0.0390625,524288,12.8
gemm,16,1,128,256,0.010649599879980088,0.07421875,1048576,13.473684210526315
gemm,16,1,128,512,0.01085439994931221,0.14453125,2097152,13.837837837837839
gemm,16,1,128,1024,0.011878400295972823,0.28515625,4194304,14.027397260273972
gemm,16,1,128,2048,0.011059200018644333,0.56640625,8388608,14.124137931034483
gemm,16,1,256,128,0.012492799758911132,0.07421875,1048576,13.473684210526315
gemm,16,1,256,256,0.011059200018644333,0.140625,2097152,14.222222222222221
gemm,16,1,256,512,0.01454080045223236,0.2734375,4194304,14.628571428571428
gemm,16,1,256,1024,0.012083200365304947,0.5390625,8388608,14.840579710144928
gemm,16,1,256,2048,0.011059200018644333,1.0703125,16777216,14.94890510948905
gemm,16,1,512,128,0.012083200365304947,0.14453125,2097152,13.837837837837839
gemm,16,1,512,256,0.011673600226640702,0.2734375,4194304,14.628571428571428
gemm,16,1,512,512,0.011878400295972823,0.53125,8388608,15.058823529411764
gemm,16,1,512,1024,0.011878400295972823,1.046875,16777216,15.283582089552239
gemm,16,1,512,2048,0.012083200365304947,2.078125,33554432,15.398496240601503
gemm,16,1,1024,128,0.01372160017490387,0.28515625,4194304,14.027397260273972
gemm,16,1,1024,256,0.012902399897575379,0.5390625,8388608,14.840579710144928
gemm,16,1,1024,512,0.011673600226640702,1.046875,16777216,15.283582089552239
gemm,16,1,1024,1024,0.011878400295972823,2.0625,33554432,15.515151515151516
gemm,16,1,1024,2048,0.01085439994931221,4.09375,67108864,15.633587786259541
gemm,16,1,2048,128,0.011878400295972823,0.56640625,8388608,14.124137931034483
gemm,16,1,2048,256,0.014131200313568116,1.0703125,16777216,14.94890510948905
gemm,16,1,2048,512,0.01372160017490387,2.078125,33554432,15.398496240601503
gemm,16,1,2048,1024,0.011059200018644333,4.09375,67108864,15.633587786259541
gemm,16,1,2048,2048,0.01658879965543747,8.125,134217728,15.753846153846155
gemm,16,2,128,128,0.012083200365304947,0.046875,1048576,21.333333333333332
gemm,16,2,128,256,0.01228799968957901,0.0859375,2097152,23.272727272727273
gemm,16,2,128,512,0.01085439994931221,0.1640625,4194304,24.38095238095238
gemm,16,2,128,1024,0.010444799810647965,0.3203125,8388608,24.975609756097562
gemm,16,2,128,2048,0.012083200365304947,0.6328125,16777216,25.28395061728395
gemm,16,2,256,128,0.011878400295972823,0.0859375,2097152,23.272727272727273
gemm,16,2,256,256,0.012083200365304947,0.15625,4194304,25.6
gemm,16,2,256,512,0.01085439994931221,0.296875,8388608,26.94736842105263
gemm,16,2,256,1024,0.011878400295972823,0.578125,16777216,27.675675675675677
gemm,16,2,256,2048,0.01085439994931221,1.140625,33554432,28.054794520547944
gemm,16,2,512,128,0.012902399897575379,0.1640625,4194304,24.38095238095238
gemm,16,2,512,256,0.011673600226640702,0.296875,8388608,26.94736842105263
gemm,16,2,512,512,0.01249919980764389,0.5625,16777216,28.444444444444443
